urn:cts:latinLit:phi0893.phi0011.10.3	voce formasti catus et decorae
urn:cts:latinLit:phi0893.phi0011.10.4	more palaestrae,
urn:cts:latinLit:phi0893.phi0011.10.5	te canam, magni Iovis et deorum
urn:cts:latinLit:phi0893.phi0011.10.6	nuntium curvaeque lyrae parentem,
urn:cts:latinLit:phi0893.phi0011.10.7	callidum, quidquid placuit, iocoso
urn:cts:latinLit:phi0893.phi0011.10.8	condere furto.
urn:cts:latinLit:phi0893.phi0011.10.9	te, boves olim nisi reddidisses
urn:cts:latinLit:phi0893.phi0011.10.10	per dolum amotas, puerum minaci
urn:cts:latinLit:phi0893.phi0011.10.11	voce dum terret, viduus pharetra
urn:cts:latinLit:phi0893.phi0011.10.12	risit Apollo.
urn:cts:latinLit:phi0893.phi0011.10.13	quin et Atridas duce te superbos
urn:cts:latinLit:phi0893.phi0011.10.14	Ilio dives Priamus relicto
urn:cts:latinLit:phi0893.phi0011.10.15	Thessalosque ignis et iniqua Troiae
urn:cts:latinLit:phi0893.phi0011.10.16	castra fefellit.
urn:cts:latinLit:phi0893.phi0011.10.17	tu pias laetis animas reponis
urn:cts:latinLit:phi0893.phi0011.10.18	sedibus virgaque levem coerces
urn:cts:latinLit:phi0893.phi0011.10.19	aurea turbam, superis deorum
urn:cts:latinLit:phi0893.phi0011.10.20	gratus et imis.

urn:cts:latinLit:phi0893.phi0011.11.1	Tu ne quaesieris, scire nefas, quem mihi, quem tibi
urn:cts:latinLit:phi0893.phi0011.11.2	finem di dederint, Leuconoe, nec Babylonios
urn:cts:latinLit:phi0893.phi0011.11.3	temptaris numeros. ut melius, quidquid erit, pati.
urn:cts:latinLit:phi0893.phi0011.11.4	seu pluris hiemes seu tribuit Iuppiter ultimam,
urn:cts:latinLit:phi0893.phi0011.11.5	quae nunc oppositis debilitat pumicibus mare
urn:cts:latinLit:phi0893.phi0011.11.6	Tyrrhenum: sapias, vina liques et spatio brevi
urn:cts:latinLit:phi0893.phi0011.11.7	spem longam reseces. dum loquimur, fugerit invida
urn:cts:latinLit:phi0893.phi0011.11.8	aetas: carpe diem quam minimum credula postero.

urn:cts:latinLit:phi0893.phi0011.12.1	Quem virum aut heroa lyra vel acri
urn:cts:latinLit:phi0893.phi0011.12.2	tibia sumis celebrare, Clio?
urn:cts:latinLit:phi0893.phi0011.12.3	quem deum? cuius recinet iocosa
urn:cts:latinLit:phi0893.phi0011.12.4	nomen imago
urn:cts:latinLit:phi0893.phi0011.12.5	aut in umbrosis Heliconis oris
urn:cts:latinLit:phi0893.phi0011.12.6	aut super Pindo gelidove in Haemo?
urn:cts:latinLit:phi0893.phi0011.12.7	unde vocalem temere insecutae
urn:cts:latinLit:phi0893.phi0011.12.8	Orphea silvae,
urn:cts:latinLit:phi0893.phi0011.12.9	arte materna rapidos morantem
urn:cts:latinLit:phi0893.phi0011.12.10	fluminum lapsus celeresque ventos,
urn:cts:latinLit:phi0893.phi0011.12.11	blandum et auritas fidibus canoris
urn:cts:latinLit:phi0893.phi0011.12.12	ducere quercus.
urn:cts:latinLit:phi0893.phi0011.12.13	quid prius dicam solitis parentis
