Author	Work	e-Source	Print Source	Added by
Euripides	Hecuba	Perseus	Gilbert Murray, Euripidis Fabulae, vol. 1. Oxford: Clarendon Press, Oxford, 1902.	Tony R. Waleszczak & Jessica Micceri
Euripides	Helen	Perseus	Gilbert Murray, Euripidis Fabulae, vol. 3. Oxford: Clarendon Press, Oxford, 1913.	Tony R. Waleszczak & Jessica Micceri
Euripides	Heracleidae	Perseus	David Kovacs, Euripides, with an English translation by David Kovacs. Cambridge: Harvard University Press, forthcoming.	Tony R. Waleszczak & Jessica Micceri
Euripides	Heracles	Perseus	Gilbert Murray, Euripidis Fabulae, vol. 2. Oxford: Clarendon Press, Oxford, 1913.	Tony R. Waleszczak & Jessica Micceri
Euripides	Hippolytus	Perseus	David Kovacs, Euripides, with an English translation by David Kovacs. Cambridge: Harvard University Press, forthcoming.	Tony R. Waleszczak & Jessica Micceri
Euripides	Ion	Perseus	Gilbert Murray, Euripidis Fabulae, vol. 2. Oxford: Clarendn Press, Oxford, 1913.	Tony R. Waleszczak & Jessica Micceri
Euripides	Iphigenia in Aulis	Perseus	Gilbert Murray, Euripidis Fabulae, vol. 3. Oxford: Clarendn Press, Oxford, 1913.	Tony R. Waleszczak & Jessica Micceri
Euripides	Iphigenia in Tauris	Perseus	Gilbert Murray, Euripidis Fabulae, vol. 2. Oxford: Clarendon Press, Oxford, 1913.	Tony R. Waleszczak & Jessica Micceri
Euripides	Medea	Perseus	David Kovacs, Euripides, with an English translation by David Kovacs. Cambridge: Harvard University Press, forthcoming.	Tony R. Waleszczak & Jessica Micceri
Euripides	Orestes	Perseus	Gilbert Murray, Euripidis Fabulae, vol. 3. Oxford: Clarendon Press, Oxford, 1913.	Tony R. Waleszczak & Jessica Micceri
Euripides	Phoenissae	Perseus	Gilbert Murray, Euripidis Fabulae, vol. 3. Oxford: Clarendon Press, Oxford, 1913.	Tony R. Waleszczak & Jessica Micceri
Euripides	Rhesus	Perseus	Gilbert Murray, Euripidis Fabulae, vol. 3. Oxford: Clarendon Press, Oxford, 1913.	Tony R. Waleszczak & Jessica Micceri
Euripides	Suppliants	Perseus	Gilbert Murray, Euripidis Fabulae, vol 2.. Oxford: Clarendon Press, Oxford, 1913.	Tony R. Waleszczak & Jessica Micceri
Euripides	The Trojan Women	Perseus	Gilbert Murray, Euripidis Fabulae, vol. 2. Oxford: Clarendon Press, Oxford, 1913.	Tony R. Waleszczak & Jessica Micceri
Eusebius of Caesarea	Historia ecclesiastica	Perseus	Kirsopp Lake, Eusebius, The Ecclesiastical History, Vol 1-2. London; New York: William Heinemann; G.P. Putnam's Press; Harvard University Press, 1926-1932.	Jessica Micceri
Felix, Marcus Mincius	Octavius	Perseus	Gerald H. Rendall, Tertullian-Minucius Felix. London; Cambr idge, Massachusetts: William Heinemann Ltd.; Harvard University Press, 1931.	Anna Glenn
Flavius Josephus	Antiquitates Judaicae	Perseus	B. Niese, Flavii Iosephi opera. Berlin: Weidmann, 1892.	Jessica Micceri
Flavius Josephus	Contra Apionem	Perseus	B. Niese, Flavii Iosephi opera. Berlin: Weidmann, 1892.	Jessica Micceri
Flavius Josephus	De Bello Judaico Libri Vii	Perseus	B. Niese, Flavii Iosephi opera. Berlin: Weidmann, 1895.	Jessica Micceri
Florus	Epitome Rerum Romanorum	Perseus	Edward Seymour Forster, Lucius Annaeus Florus, Epitome of Roman history.London: William Heinemann; New York: G.P. Putnam's Sons, 1929.	Anna Glenn
Galen	On the Natural Faculties.	Perseus	A.J. Brock, On the Natural Faculties.. Cambridge, Mass.: Harvard University Press, July 1, 2005.	Jessica Micceri
Gellius	Attic Nights	Perseus	John C. Rolfe, With An English Translation. Cambridge: Camb ridge, Mass., Harvard University Press; London, William Heinemann, Ltd., 1927.</td>	Anna Glenn
Glass	Washingtonii Vita	Perseus	J.N. Reynolds, Washingtonii Vita. New York: Harper & Brothe rs, 1842.	Anna Glenn
Herodotus	The Histories	Perseus	Herodotus, with an English translation by A. D. Godley. Cambridge: Harvard University Press, 1920.	Jessica Micceri
Hippocrates	Hippocrates Collected Works I	Perseus	W. H. S. Jones, Hippocrates Collected Works I. Cambridge: Harvard University Press, February 1, 2005.	Jessica Micceri
Horace	Ars Poetica	Perseus	C. Smart, The Works of Horace. Philadelphia: Joseph Whetham, 1836.	Chris Forstall
Horace	Carmen Saeculare	Latin Library	Paul Shorey, Horace: Odes and Epodes. Boston: Benj. H. Sanborn & Co.	Chris Forstall
Horace	Epistles	Perseus	H. Rushton Fairclough, Horace: Satires, Epistles and Ars Poetica. Harvard University Press, 1929.	Chris Forstall
Horace	Epodes	Perseus	F. Vollmer, Q. Horati Flacci Carmina. Leipzig: Teubner, 1912.	Chris Forstall
Horace	Odes	Perseus	Paul Shorey and Gordon J. Laing, Horace: Odes and Epodes. Chicago: Benj. H. Sanborn & Co., 1919.	Chris Forstall
